No;Instansi;Formasi;Pendaftar;Submit;MS;TMS
278;Pemerintah Kab. Minahasa;100;1617;1465;1350;99
279;Pemerintah Kab. Minahasa Selatan;914;10408;9761;3338;2183
280;Pemerintah Kab. Minahasa Tenggara;694;3524;3380;3216;164
281;Pemerintah Kab. Minahasa Utara;35;714;645;440;125
282;Pemerintah Kab. Mojokerto;108;1849;1724;1516;208
283;Pemerintah Kab. Morowali;250;3213;2870;2675;195
284;Pemerintah Kab. Morowali Utara;400;4906;4579;3889;690
285;Pemerintah Kab. Muara Enim;856;10340;9583;8085;1016
286;Pemerintah Kab. Mukomuko;150;3584;3403;2600;803
287;Pemerintah Kab. Muna;50;781;698;617;81
288;Pemerintah Kab. Muna Barat;260;5750;5545;5170;375
289;Pemerintah Kab. Musi Banyuasin;205;2438;2346;1985;361
290;Pemerintah Kab. Musi Rawas;250;5159;4809;4001;808
291;Pemerintah Kab. Musi Rawas Utara;100;1590;1500;1079;157
292;Pemerintah Kab. Nabire;200;2406;2160;440;177
293;Pemerintah Kab. Nagan Raya;156;5437;5319;4062;1257
294;Pemerintah Kab. Nagekeo;434;3970;3792;2786;772
295;Pemerintah Kab. Natuna;30;437;414;381;30
296;Pemerintah Kab. Nduga;480;1348;1290;1142;148
297;Pemerintah Kab. Ngada;600;2697;2580;2228;352
298;Pemerintah Kab. Nganjuk;24;237;192;143;49
299;Pemerintah Kab. Ngawi;283;4997;4759;4163;596
300;Pemerintah Kab. Nias;370;5534;5380;5079;301
301;Pemerintah Kab. Nias Barat;325;3272;3172;2570;602
302;Pemerintah Kab. Nias Selatan;50;2430;2145;1251;886
303;Pemerintah Kab. Nias Utara;130;1611;1555;1029;248
304;Pemerintah Kab. Nunukan;240;1762;1619;1473;146
305;Pemerintah Kab. Ogan Ilir;150;2398;2257;1742;492
306;Pemerintah Kab. Ogan Komering Ilir;32;972;898;784;114
307;Pemerintah Kab. Ogan Komering Ulu;25;588;549;424;125
308;Pemerintah Kab. Ogan Komering Ulu Sel.;22;569;530;340;190
309;Pemerintah Kab. Ogan Komering Ulu Timur;264;4827;4595;3025;1570
310;Pemerintah Kab. Pacitan;92;1568;1500;1286;214
311;Pemerintah Kab. Padang Pariaman;50;870;774;580;194
312;Pemerintah Kab. Pamekasan;68;1914;1749;1531;218
313;Pemerintah Kab. Pandeglang;30;916;792;659;133
314;Pemerintah Kab. Pangkajene dan Kepulauan;28;482;421;354;67
315;Pemerintah Kab. Paniai;350;2661;2616;1499;826
316;Pemerintah Kab. Parigi Moutong;159;1238;1128;770;358
317;Pemerintah Kab. Pasaman;27;833;764;636;128
318;Pemerintah Kab. Pasangkayu;40;688;639;494;145
319;Pemerintah Kab. Paser;280;2460;2360;1412;793
320;Pemerintah Kab. Pasuruan;119;8546;7711;5924;1787
321;Pemerintah Kab. Pati;71;2315;2138;1829;309
322;Pemerintah Kab. Pegunungan Arfak;600;2224;2201;2131;70
323;Pemerintah Kab. Pegunungan Bintang;700;2527;2438;551;1
324;Pemerintah Kab. Pekalongan;50;1590;1480;1339;141
325;Pemerintah Kab. Pelalawan;25;2142;1825;1537;268
326;Pemerintah Kab. Pemalang;326;6928;6340;5814;525
327;Pemerintah Kab. Penajam Paser Utara;250;2801;2455;2241;213
328;Pemerintah Kab. Penukal Abab Lematang Ilir;480;7166;6761;5397;1364
329;Pemerintah Kab. Pesawaran;32;522;483;402;81
330;Pemerintah Kab. Pesisir Barat;462;7161;6718;5300;1417
331;Pemerintah Kab. Pesisir Selatan;55;944;869;720;149
332;Pemerintah Kab. Pidie;58;843;813;729;84
333;Pemerintah Kab. Pidie Jaya;31;567;536;471;65
334;Pemerintah Kab. Pohuwato;41;86;73;57;16
335;Pemerintah Kab. Polewali Mandar;200;5730;5449;2674;2775
336;Pemerintah Kab. Ponorogo;323;8896;8335;7150;1185
337;Pemerintah Kab. Pringsewu;106;3006;2871;2342;527
338;Pemerintah Kab. Probolinggo;70;1361;1136;159;977
339;Pemerintah Kab. Pulang Pisau;287;1294;1252;1244;8
340;Pemerintah Kab. Pulau Morotai;160;568;546;539;7
341;Pemerintah Kab. Pulau Taliabu;135;951;896;607;289
342;Pemerintah Kab. Puncak;389;1359;1317;1275;42
343;Pemerintah Kab. Puncak Jaya;1000;2947;2676;2322;354
344;Pemerintah Kab. Purbalingga;40;2452;2332;2142;190
345;Pemerintah Kab. Purwakarta;125;3708;3043;2643;400
346;Pemerintah Kab. Purworejo;17;40;36;33;3
